"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","67.459","67.394","67.922","68.389","68.902","69.319","69.789","70.144","70.542","70.918","71.281","71.643","72.324","73.009","73.432","73.832","73.991","74.119","74.227","74.349","74.419","74.846","74.942","75.038","75.14","75.225","75.282","75.647","75.692","75.701","75.701","75.697","75.7","75.714","75.731","75.753","75.768","75.787","75.823","75.573","75.651","75.758","75.825","75.898","75.872","75.992","76.109","76.252","76.404","76.64","77.57","77.709","77.899","77.961","78.124","78.139","78.203","78.25","78.708","78.814","78.333","76.417","78.691","78.779","",
"Africa Eastern and Southern","AFE","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","45.9980736459902","46.3684608628002","46.7439361923394","47.0948165968125","47.4992060676998","47.7692785581448","47.6822535140202","48.4314238599476","48.7455512123041","48.9916231115514","49.2788106895563","49.5120194756181","49.2129062920673","49.736609243751","49.7165087385753","49.9133776839612","50.6453193217896","50.986179008963","51.245852380334","51.6550098854036","52.057242005982","52.2894824172499","52.6044606940931","51.1164559730882","51.3139051709764","51.6663067091191","52.2843002069176","53.3103907330183","53.0767511718914","53.4953551856157","53.3076446206773","52.8970805139701","52.6597535633316","53.0397827522353","52.8426706259964","53.301350609291","53.1866333208109","53.3296755664062","53.2310627518121","53.7425408766332","54.1112309496375","54.3878364186547","54.741571542543","55.1849510514056","55.7420191157552","56.3577050139746","57.2536366582669","58.1281284149514","59.0068224954487","59.9178441893455","60.7189613115567","61.1630469737208","62.3102214918995","63.066640010223","63.5434767742746","64.0634784185112","64.6100394308735","65.0825533065014","65.8727615555546","66.4344358211937","66.5366715848665","65.652968103453","67.2311298187112","67.9147792769187","",
"Afghanistan","AFG","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","33.549","34.043","34.502","34.945","35.428","35.9","36.38","36.851","37.281","37.758","38.261","38.752","39.255","39.778","40.291","40.813","41.333","41.88","41.479","40.881","41.379","41.695","39.518","40.093","36.422","37.101","42.072","42.603","45.962","47.042","47.703","48.282","49.607","52.296","53.135","53.694","54.426","54.72","54.392","55.966","56.555","57.089","57.442","58.472","59.073","59.588","60.123","60.804","61.428","61.791","62.283","62.852","63.344","63.814","64.009","64.178","64.64","65.606","65.942","66.144","64.656","64.079","67.236","67.536","",
"Africa Western and Central","AFW","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","39.8175859115324","40.1209150021894","40.4113121164244","40.6879859339335","40.9693199004211","41.2653906894924","41.4880883866407","41.5081997815261","42.1739497848897","42.4501338181818","42.870525951189","43.3232314179575","44.0078059327543","44.5575373168456","45.1524914483151","45.7521115851922","46.2524861418297","46.8598777160326","47.4020653834562","47.8881402823921","48.2954832938715","48.7041462310831","49.022514990137","49.2582462353311","49.440681481563","49.5635319086833","49.5929048243203","49.7276173514395","49.8574732400945","49.9621903373604","49.9715438550449","49.967336741081","50.1047354566022","50.3118773534304","50.3136919657132","50.428858007785","50.4412688691394","50.5260900397273","50.6006641134297","50.9256825239093","51.3109133590149","51.5851992427943","51.9370363030129","52.378864473419","52.8733393200839","53.4115853091345","53.8527073324309","54.3725673701012","54.7913689286989","54.822890612263","55.5390576753171","55.8791988873962","56.2070616497751","56.5132569476164","56.7013733670951","56.9951946399414","57.3328305296981","57.6162278555628","58.0296793848087","58.2048173263905","58.5536862406846","58.4736335885553","59.1434742082473","59.9971017085887","",
"Angola","AGO","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","39.739","39.885","40.218","40.507","40.813","41.12","41.487","41.837","42.23","42.577","42.964","43.311","43.702","44.04","44.419","44.179","44.233","44.585","44.889","45.184","45.47","45.75","46.016","45.456","45.686","45.891","46.072","44.624","45.125","45.315","45.43","46.844","45.563","46.723","47.745","48.16","48.402","48.684","48.047","49.003","49.132","50.047","50.367","52.181","53.074","54.051","54.811","56.041","57.162","58.129","59.221","60.21","61.157","62.009","62.728","63.412","64.009","64.527","65.057","65.506","65.774","65.441","66.753","67.144","",
"Albania","ALB","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","58.877","59.995","61.047","62.086","63.048","63.934","64.814","65.642","66.476","67.237","67.946","68.612","69.246","69.844","70.4","70.918","71.399","71.852","72.269","72.597","72.967","73.287","73.618","73.97","74.329","74.684","75.138","75.477","75.726","75.956","76.195","76.452","76.72","77","77.206","77.407","77.533","77.052","77.725","77.822","77.926","78.031","78.142","78.329","78.753","79.303","79.943","80.584","81.076","81.282","81.108","80.916","80.589","80.387","80.267","80.451","80.625","80.795","81.001","81.06","80.345","79.002","80.781","81.446","",
"Andorra","AND","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","75.081","75.744","76.372","76.871","77.352","77.688","77.909","77.979","78.002","77.988","78.075","78.193","78.461","78.751","79.072","79.391","79.785","80.154","80.569","80.975","81.37","81.69","81.971","82.196","82.404","82.571","82.775","82.96","83.117","83.235","83.387","83.471","83.609","83.823","84.085","84.294","84.51","84.713","84.864","85.068","85.098","85.167","85.13","85.116","84.979","85.272","85.593","85.976","86.292","86.611","86.684","86.692","86.669","86.652","86.626","86.584","86.468","86.322","86.196","86.101","83.84","84.678","86.075","86.107","",
"Arab World","ARB","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","46.9174880427069","47.7091089515368","48.1721521487387","48.8818873441522","49.4478716014478","50.0270224671575","50.5559455854564","51.072057806193","51.5750752854899","52.1035512175932","52.6175220716227","53.1777704593449","53.7437120921636","54.3231203747569","54.8782468075538","55.5088007992359","55.8088483077069","56.9385539164841","57.6333724449116","58.3660247881287","59.1926368045577","59.984626173745","60.3703586495306","60.9896607659744","61.6472873086616","62.2796816318145","63.3295705038779","63.8515513861814","64.0504151508209","64.4448191776785","64.9135256948661","64.768498506324","65.3933360923377","66.4981765708624","66.8425192547477","67.1879125558553","67.491263909108","67.7969747810053","68.1374443223452","68.4420723638549","68.7902015139042","69.1609934701881","69.5247661307445","69.734587416204","69.9174908312166","70.2129793605623","70.6918711003559","71.025285019887","71.2693473052026","71.5973539011811","71.6858988652796","71.2622758423776","71.9186124523846","72.2970748279592","72.6039681426435","72.8191746104877","73.1246960262716","73.2310349975723","73.5098368993471","73.8579252362595","72.9544176966871","72.3672117797234","73.8783117926834","74.4189102394527","",
"United Arab Emirates","ARE","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","54.635","55.611","56.605","57.624","58.647","59.673","60.776","61.844","62.898","63.921","64.902","65.83","66.698","67.505","68.252","68.938","69.565","70.135","70.654","71.126","71.555","71.947","72.304","72.627","72.914","73.162","73.371","73.537","73.66","73.743","73.787","73.793","73.761","73.713","73.721","73.866","74.238","74.903","75.88","77.038","78.229","79.343","80.315","81.11","81.737","82.222","82.585","82.837","82.986","83.044","83.044","83.021","83.01","83.046","83.157","83.328","83.529","83.732","83.912","84.047","83.9","80.926","82.115","84.204","",
"Argentina","ARG","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","67.789","68.236","68.282","68.575","68.537","68.819","69.095","69.288","69.193","69.133","69.564","69.417","69.764","70.087","70.371","70.913","70.983","71.559","71.708","72.001","72.047","72.436","72.557","72.706","72.778","73.402","73.81","74.219","74.623","75.039","74.878","75.344","75.496","75.707","75.909","76.17","76.433","76.838","76.876","77.075","77.288","77.642","77.911","77.808","78.177","78.632","78.437","77.925","78.577","78.593","78.732","79.402","78.672","78.623","79.15","79.795","79.131","79.204","79.505","79.439","78.783","76.86","78.318","79.875","",
